committee,code,coeff,se,rank,min_cong,max_cong
"Agriculture, Nutrition, and Forestry",305,-0.04,0.49,13,96,102
Appropriations,306,1.18,0.42,3,96,102
Armed Services,308,0.52,0.37,6,96,102
"Banking, Housing, and Urban Affairs",314,0,0.3,12,96,102
Budget,316,0.16,0.28,8,96,102
"Commerce, Science, and Transportation",321,-0.85,0.38,16,96,102
Energy and Natural Resources,330,0.2,0.24,7,96,102
Environment and Public Works,332,-0.34,0.38,15,96,102
Finance,336,1.84,0.71,1,96,102
Foreign Relations,338,1.12,0.39,4,96,102
"Health, Education, Labor, and Pensions",362,0.1,0.3,11,96,102
Homeland Security and Governmental Affairs,344,0.15,0.33,10,96,102
Judiciary,358,-0.25,0.43,14,96,102
Rules and Administration,380,1.75,0.58,2,96,102
Small Business,384,0.15,0.27,9,96,102
Veterans Affairs,388,0.82,0.64,5,96,102
"Agriculture, Nutrition, and Forestry",305,-0.04,0.31,13,103,112
Appropriations,306,1.47,0.4,2,103,112
Armed Services,308,0.55,0.28,4,103,112
"Banking, Housing, and Urban Affairs",314,-0.16,0.33,15,103,112
Budget,316,0.07,0.28,9,103,112
"Commerce, Science, and Transportation",321,0.52,0.36,5,103,112
Energy and Natural Resources,330,-0.07,0.23,14,103,112
Environment and Public Works,332,-0.01,0.28,12,103,112
Finance,336,2.66,0.52,1,103,112
Foreign Relations,338,0.02,0.26,11,103,112
"Health, Education, Labor, and Pensions",362,0.18,0.25,7,103,112
Homeland Security and Governmental Affairs,344,0.33,0.28,6,103,112
Judiciary,358,0.14,0.33,8,103,112
Rules and Administration,380,0.82,0.4,3,103,112
Small Business,384,-0.41,0.38,16,103,112
Veterans Affairs,388,0.03,0.46,10,103,112
Aeronautics and Space Sciences,302,0.69,0.22,8,81,95
"Agriculture, Nutrition, and Forestry",305,0.36,0.35,9,81,95
Appropriations,306,2.64,0.39,2,81,95
Armed Services,308,1.48,0.36,4,81,95
"Banking, Housing, and Urban Affairs",314,0.26,0.33,11,81,95
Budget,316,0.71,0.35,7,81,95
"Commerce, Science, and Transportation",321,1.3,0.3,6,81,95
District of Columbia,324,-0.82,0.27,17,81,95
Energy and Natural Resources,330,0.11,0.3,12,81,95
Environment and Public Works,332,-0.11,0.28,15,81,95
Finance,336,2.25,0.42,3,81,95
Foreign Relations,338,3.01,0.42,1,81,95
"Health, Education, Labor, and Pensions",362,0.32,0.34,10,81,95
Homeland Security and Governmental Affairs,344,-0.23,0.26,16,81,95
Judiciary,358,1.42,0.39,5,81,95
Post Office and Civil Service,370,0.02,0.26,13,81,95
Rules and Administration,380,-0.03,0.27,14,81,95
Veterans Affairs,388,-1.52,1.23,18,81,95
"Agriculture, Nutrition, and Forestry",305,-0.07,0.26,15,96,112
Appropriations,306,1.35,0.28,2,96,112
Armed Services,308,0.49,0.22,4,96,112
"Banking, Housing, and Urban Affairs",314,-0.04,0.22,12,96,112
Budget,316,0.08,0.2,9,96,112
"Commerce, Science, and Transportation",321,-0.05,0.27,13,96,112
Energy and Natural Resources,330,-0.05,0.17,14,96,112
Environment and Public Works,332,-0.14,0.23,16,96,112
Finance,336,2.33,0.4,1,96,112
Foreign Relations,338,0.37,0.21,5,96,112
"Health, Education, Labor, and Pensions",362,0.13,0.19,8,96,112
Homeland Security and Governmental Affairs,344,0.22,0.21,7,96,112
Judiciary,358,-0.04,0.26,11,96,112
Rules and Administration,380,1.23,0.31,3,96,112
Small Business and Entrepreneurship,384,-0.04,0.22,10,96,112
Veterans Affairs,388,0.3,0.36,6,96,112
