mc,congress,role,start_date,end_date
MANSFIELD (D MT),93,maj leader,,
BYRD (D WV),93,maj whip,,
SCOTT (R PA),93,min leader,,
GRIFFIN (R MI),93,min whip,,
MANSFIELD (D MT),94,maj leader,,
BYRD (D WV),94,maj whip,,
SCOTT (R PA),94,min leader,,
GRIFFIN (R MI),94,min whip,,
BYRD (D WV),95,maj leader,,
CRANSTON (D CA),95,maj whip,,
BAKER (R TN),95,min leader,,
STEVENS (R AK),95,min whip,,
BYRD (D WV),96,maj leader,,
CRANSTON (D CA),96,maj whip,,
BAKER (R TN),96,min leader,,
STEVENS (R AK),96,min whip,,
BYRD (D WV),97,min leader,,
CRANSTON (D CA),97,min whip,,
BAKER (R TN),97,maj leader,,
STEVENS (R AK),97,maj whip,,
BYRD (D WV),98,min leader,,
CRANSTON (D CA),98,min whip,,
BAKER (R TN),98,maj leader,,
STEVENS (R AK),98,maj whip,,
BYRD (D WV),99,min leader,,
CRANSTON (D CA),99,min whip,,
DOLE (R KS),99,maj leader,,
SIMPSON (R WY),99,maj whip,,
BYRD (D WV),100,maj leader,,
CRANSTON (D CA),100,maj whip,,
DOLE (R KS),100,min leader,,
SIMPSON (R WY),100,min whip,,
MITCHELL (D ME),101,maj leader,,
CRANSTON (D CA),101,maj whip,,
DOLE (R KS),101,min leader,,
SIMPSON (R WY),101,min whip,,
MITCHELL (D ME),102,maj leader,,
FORD (D KY),102,maj whip,,
DOLE (R KS),102,min leader,,
SIMPSON (R WY),102,min whip,,
MITCHELL (D ME),103,maj leader,,
FORD (D KY),103,maj whip,,
DOLE (R KS),103,min leader,,
SIMPSON (R WY),103,min whip,,
DOLE (R KS),104,maj leader,1995-01-03,1995-06-11
LOTT (R MS),104,maj leader,1995-06-12,1997-01-03
LOTT (R MS),104,maj whip,1995-01-03,1995-06-11
NICKLES (R OK),104,maj whip,1995-06-12,1997-01-03
DASCHLE (D SD),104,min leader,,
FORD (D KY),104,min whip,,
LOTT (R MS),105,maj leader,,
NICKLES (R OK),105,maj whip,,
DASCHLE (D SD),105,min leader,,
FORD (D KY),105,min whip,,
LOTT (R MS),106,maj leader,,
NICKLES (R OK),106,maj whip,,
DASCHLE (D SD),106,min leader,,
REID (D NV),106,min whip,,
LOTT (R MS),107,min leader,2001-01-03,2001-01-19
NICKLES (R OK),107,min whip,2001-01-03,2001-01-19
DASCHLE (D SD),107,maj leader,2001-01-03,2001-01-19
REID (D NV),107,maj whip,2001-01-03,2001-01-19
LOTT (R MS),107,maj leader,2001-01-20,2001-06-05
NICKLES (R OK),107,maj whip,2001-01-20,2001-06-05
DASCHLE (D SD),107,min leader,2001-01-20,2001-06-05
REID (D NV),107,min whip,2001-01-20,2001-06-05
LOTT (R MS),107,min leader,2001-06-06,2003-01-03
NICKLES (R OK),107,min whip,2001-06-06,2003-01-03
DASCHLE (D SD),107,maj leader,2001-06-06,2003-01-03
REID (D NV),107,maj whip,2001-06-06,2003-01-03
DASCHLE (D SD),108,min leader,,
REID (D NV),108,min whip,,
FRIST (R TN),108,maj leader,,
MCCONNELL (R KY),108,maj whip,,
REID (D NV),109,min leader,,
FRIST (R TN),109,maj leader,,
MCCONNELL (R KY),109,maj whip,,
DURBIN (D IL),109,min whip,,
REID (D NV),110,maj leader,,
DURBIN (D IL),110,maj whip,,
MCCONNELL (R KY),110,min leader,,
LOTT (R MS),110,min whip,2007-01-03,2007-12-18
KYL (R AZ),110,min whip,2007-12-19,2009-01-03
REID (D NV),111,maj leader,,
DURBIN (D IL),111,maj whip,,
MCCONNELL (R KY),111,min leader,,
KYL (R AZ),111,min whip,,
REID (D NV),112,maj leader,,
DURBIN (D IL),112,maj whip,,
MCCONNELL (R KY),112,min leader,,
KYL (R AZ),112,min whip,,
