"","name","icpsrLegis"
"116","ALLEN (D AL) 14517",14517
"124","HUMPHREY (D MN) 14516",14516
"142","KASSEBAUM (R KS)",14708
"198","MIKULSKI (D MD)",14440
"224","BURDICK2 (D ND)",49103
"227","BOXER (D CA)",15011
"228","FEINSTEIN (D CA)",49300
"232","MOSELEY-BRA (D IL)",49303
"238","HUTCHISON (R TX)",49306
"241","MURRAY (D WA)",49308
"246","FRAHM (R KS)",49504
"247","SNOWE (R ME)",14661
"264","LANDRIEU (D LA)",49702
"265","COLLINS (R ME)",49703
"272","LINCOLN (D AR)",29305
"285","STABENOW (D MI)",29732
"292","CLINTON (D NY)",40105
"296","CANTWELL (D WA)",39310
"297","MURKOWSKI (R AK)",40300
"303","DOLE (R NC)",40303
"318","KLOBUCHAR (D MN)",40700
"343","SHAHEEN (D NH)",40906
"345","GILLIBRAND (D NY)",20735
"360","AYOTTE (R NH)",41106
